Nucleotide,Replicate,Time,Mature_RISC,Pre_RISC
A,1,0,,0.431888215
A,1,15,,0.784535818
A,1,30,,0.888114369
A,1,60,,0.883362391
A,1,90,,0.896757987
A,1,120,,0.884982695
U,1,0,,0.465982521
U,1,15,,0.708980685
U,1,30,,0.809449752
U,1,60,,0.887820885
U,1,90,,0.918780568
U,1,120,,0.93045208
A6,1,0,,0.54450969
A6,1,15,,0.912319945
A6,1,30,,0.948694161
A6,1,60,,0.95519187
A6,1,90,,0.965097038
A6,1,120,,1
G,1,0,,0.441840812
G,1,15,,0.814294689
G,1,30,,0.918189078
G,1,60,,1.004976927
G,1,90,,1.143803643
G,1,120,,1.084242135
A,2,0,,0.472045137
A,2,15,,0.863647317
A,2,30,,1.03347626
A,2,60,,1.133024364
A,2,90,,1.140451118
A,2,120,,1.179093465
U,2,0,,0.57270071
U,2,15,,0.84716323
U,2,30,,0.966663553
U,2,60,,1.002620489
U,2,90,,1.100057395
U,2,120,,1.048126628
A6,2,0,,0.600338578
A6,2,15,,1.019254635
A6,2,30,,1.113265798
A6,2,60,,1.12739707
A6,2,90,,1.130768226
A6,2,120,,1
G,2,0,,0.5943239
G,2,15,,1.05286941
G,2,30,,1.127202031
G,2,60,,1.171327658
G,2,90,,1.268638519
G,2,120,,1.119905903
A,3,0,,0.510442033
A,3,15,,0.965265632
A,3,30,,1.090221692
A,3,60,,1.177472703
A,3,90,,1.180625042
A,3,120,,1.137485423
U,3,0,,0.582447155
U,3,15,,0.933395133
U,3,30,,1.040303151
U,3,60,,1.074574295
U,3,90,,1.027959987
U,3,120,,1.028692166
A6,3,0,,0.553668945
A6,3,15,,0.912570173
A6,3,30,,1.01878649
A6,3,60,,1.064757045
A6,3,90,,1.083690904
A6,3,120,,1
G,3,0,,0.514616065
G,3,15,,0.948251724
G,3,30,,1.029991848
G,3,60,,1.08944516
G,3,90,,1.123282522
G,3,120,,1.05782243